Part_Number,web,the
shelf045,https://www.webstaurantstore.com/regency-14-x-60-nsf-green-epoxy-wire-shelf/460EG1460.html,https://www.therestaurantstore.com/items/26410
shelf046,https://www.webstaurantstore.com/regency-14-x-72-nsf-black-epoxy-wire-shelf/460EB1472.html,https://www.therestaurantstore.com/items/166638
shelf047,https://www.webstaurantstore.com/regency-14-x-72-nsf-chrome-wire-shelf/460EC1472.html,https://www.therestaurantstore.com/items/49571
shelf048,https://www.webstaurantstore.com/regency-14-x-72-nsf-green-epoxy-wire-shelf/460EG1472.html,https://www.therestaurantstore.com/items/54041
shelf049,https://www.webstaurantstore.com/regency-18-x-24-nsf-black-epoxy-wire-shelf/460EB1824.html,https://www.therestaurantstore.com/items/103478
shelf050,https://www.webstaurantstore.com/regency-18-x-24-nsf-chrome-wire-shelf/460EC1824.html,https://www.therestaurantstore.com/items/52175
shelf051,https://www.webstaurantstore.com/regency-18-x-24-nsf-green-epoxy-wire-shelf/460EG1824.html,https://www.therestaurantstore.com/items/51586
shelf052,https://www.webstaurantstore.com/regency-18-x-30-nsf-black-epoxy-wire-shelf/460EB1830.html,https://www.therestaurantstore.com/items/103466
shelf053,https://www.webstaurantstore.com/regency-18-x-30-nsf-chrome-wire-shelf/460EC1830.html,https://www.therestaurantstore.com/items/11209
shelf054,https://www.webstaurantstore.com/regency-18-x-30-nsf-green-epoxy-wire-shelf/460EG1830.html,https://www.therestaurantstore.com/items/36854
shelf055,https://www.webstaurantstore.com/regency-18-x-36-nsf-black-epoxy-wire-shelf/460EB1836.html,https://www.therestaurantstore.com/items/103472
shelf056,https://www.webstaurantstore.com/regency-18-x-36-nsf-chrome-wire-shelf/460EC1836.html,https://www.therestaurantstore.com/items/55511
shelf057,https://www.webstaurantstore.com/regency-18-x-36-nsf-green-epoxy-wire-shelf/460EG1836.html,https://www.therestaurantstore.com/items/10757
shelf058,https://www.webstaurantstore.com/regency-18-x-42-nsf-black-epoxy-wire-shelf/460EB1842.html,https://www.therestaurantstore.com/items/103411
shelf059,https://www.webstaurantstore.com/regency-18-x-42-nsf-chrome-wire-shelf/460EC1842.html,https://www.therestaurantstore.com/items/38494
shelf060,https://www.webstaurantstore.com/regency-18-x-42-nsf-green-epoxy-wire-shelf/460EG1842.html,https://www.therestaurantstore.com/items/57432
shelf061,https://www.webstaurantstore.com/regency-18-x-48-nsf-black-epoxy-wire-shelf/460EB1848.html,https://www.therestaurantstore.com/items/103413
shelf062,https://www.webstaurantstore.com/regency-18-x-48-nsf-chrome-wire-shelf/460EC1848.html,https://www.therestaurantstore.com/items/52382
shelf063,https://www.webstaurantstore.com/regency-18-x-48-nsf-green-epoxy-wire-shelf/460EG1848.html,https://www.therestaurantstore.com/items/23720
shelf064,https://www.webstaurantstore.com/regency-18-x-54-nsf-black-epoxy-wire-shelf/460EB1854.html,https://www.therestaurantstore.com/items/103455
shelf065,https://www.webstaurantstore.com/regency-18-x-54-nsf-chrome-wire-shelf/460EC1854.html,https://www.therestaurantstore.com/items/30346
shelf066,https://www.webstaurantstore.com/regency-18-x-54-nsf-green-epoxy-wire-shelf/460EG1854.html,https://www.therestaurantstore.com/items/21261
shelf067,https://www.webstaurantstore.com/regency-18-x-60-nsf-black-epoxy-wire-shelf/460EB1860.html,https://www.therestaurantstore.com/items/103428
shelf068,https://www.webstaurantstore.com/regency-18-x-60-nsf-chrome-wire-shelf/460EC1860.html,https://www.therestaurantstore.com/items/21533
shelf069,https://www.webstaurantstore.com/regency-18-x-60-nsf-green-epoxy-wire-shelf/460EG1860.html,https://www.therestaurantstore.com/items/18427
shelf070,https://www.webstaurantstore.com/regency-18-x-72-nsf-black-epoxy-wire-shelf/460EB1872.html,https://www.therestaurantstore.com/items/103441
shelf071,https://www.webstaurantstore.com/regency-18-x-72-nsf-chrome-wire-shelf/460EC1872.html,https://www.therestaurantstore.com/items/20529
shelf072,https://www.webstaurantstore.com/regency-18-x-72-nsf-green-epoxy-wire-shelf/460EG1872.html,https://www.therestaurantstore.com/items/3152
shelf073,https://www.webstaurantstore.com/regency-21-x-24-nsf-black-epoxy-wire-shelf/460EB2124.html,https://www.therestaurantstore.com/items/713597
shelf074,https://www.webstaurantstore.com/regency-21-x-24-nsf-chrome-wire-shelf/460EC2124.html,https://www.therestaurantstore.com/items/39400
shelf075,https://www.webstaurantstore.com/regency-21-x-24-nsf-green-epoxy-wire-shelf/460EG2124.html,https://www.therestaurantstore.com/items/713528
shelf076,https://www.webstaurantstore.com/regency-21-x-30-nsf-black-epoxy-wire-shelf/460EB2130.html,https://www.therestaurantstore.com/items/577382
shelf077,https://www.webstaurantstore.com/regency-21-x-30-nsf-chrome-wire-shelf/460EC2130.html,https://www.therestaurantstore.com/items/2559
shelf078,https://www.webstaurantstore.com/regency-21-x-30-nsf-green-epoxy-wire-shelf/460EG2130.html,https://www.therestaurantstore.com/items/5326
shelf079,https://www.webstaurantstore.com/regency-21-x-36-nsf-black-epoxy-wire-shelf/460EB2136.html,https://www.therestaurantstore.com/items/577453
shelf080,https://www.webstaurantstore.com/regency-21-x-36-nsf-chrome-wire-shelf/460EC2136.html,https://www.therestaurantstore.com/items/38853
shelf081,https://www.webstaurantstore.com/regency-21-x-36-nsf-green-epoxy-wire-shelf/460EG2136.html,https://www.therestaurantstore.com/items/3261
shelf082,https://www.webstaurantstore.com/regency-21-x-42-nsf-black-epoxy-wire-shelf/460EB2142.html,https://www.therestaurantstore.com/items/577386
shelf083,https://www.webstaurantstore.com/regency-21-x-42-nsf-chrome-wire-shelf/460EC2142.html,https://www.therestaurantstore.com/items/69428
shelf084,https://www.webstaurantstore.com/regency-21-x-42-nsf-green-epoxy-wire-shelf/460EG2142.html,https://www.therestaurantstore.com/items/53715
shelf085,https://www.webstaurantstore.com/regency-21-x-48-nsf-black-epoxy-wire-shelf/460EB2148.html,https://www.therestaurantstore.com/items/577379
shelf086,https://www.webstaurantstore.com/regency-21-x-48-nsf-chrome-wire-shelf/460EC2148.html,https://www.therestaurantstore.com/items/12104
shelf087,https://www.webstaurantstore.com/regency-21-x-48-nsf-green-epoxy-wire-shelf/460EG2148.html,https://www.therestaurantstore.com/items/12716
shelf088,https://www.webstaurantstore.com/regency-21-x-54-nsf-black-epoxy-wire-shelf/460EB2154.html,https://www.therestaurantstore.com/items/577466
shelf089,https://www.webstaurantstore.com/regency-21-x-54-nsf-chrome-wire-shelf/460EC2154.html,https://www.therestaurantstore.com/items/20923
shelf090,https://www.webstaurantstore.com/regency-21-x-54-nsf-green-epoxy-wire-shelf/460EG2154.html,https://www.therestaurantstore.com/items/26441
shelf091,https://www.webstaurantstore.com/regency-21-x-60-nsf-black-epoxy-wire-shelf/460EB2160.html,https://www.therestaurantstore.com/items/577406
shelf092,https://www.webstaurantstore.com/regency-21-x-60-nsf-chrome-wire-shelf/460EC2160.html,https://www.therestaurantstore.com/items/44756
shelf093,https://www.webstaurantstore.com/regency-21-x-60-nsf-green-epoxy-wire-shelf/460EG2160.html,https://www.therestaurantstore.com/items/69580
shelf094,https://www.webstaurantstore.com/regency-21-x-72-nsf-black-epoxy-wire-shelf/460EB2172.html,https://www.therestaurantstore.com/items/577396
shelf095,https://www.webstaurantstore.com/regency-21-x-72-nsf-chrome-wire-shelf/460EC2172.html,https://www.therestaurantstore.com/items/61357
