SKU,shelves_WS,shelves_THR,shelves_x,posts_WS,posts_THR,posts_x,split_sleeves_WS,split_sleeves_THR,split_sleeves_x,wheels_WS,wheels_THR,wheels_x
THR-SHELF-KIT-0012_30_42_chrome,https://www.webstaurantstore.com/regency-30-x-42-nsf-chrome-wire-shelf/460EC3042.html,https://www.therestaurantstore.com/items/754049,4,https://www.webstaurantstore.com/regency-nsf-54-chrome-mobile-shelving-post/460ECPC54.html,https://www.therestaurantstore.com/items/413228,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_30_42_green,https://www.webstaurantstore.com/regency-30-x-42-nsf-green-epoxy-wire-shelf/460EG3042.html,https://www.therestaurantstore.com/items/754220,4,https://www.webstaurantstore.com/regency-nsf-54-green-epoxy-mobile-shelving-post/460EGPC54.html,https://www.therestaurantstore.com/items/413340,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_30_48_black,https://www.webstaurantstore.com/regency-30-x-48-nsf-black-epoxy-wire-shelf/460EB3048.html,https://www.therestaurantstore.com/items/524246,4,https://www.webstaurantstore.com/regency-nsf-54-black-epoxy-mobile-shelving-post/460EBPC54.html,https://www.therestaurantstore.com/items/413314,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_30_48_chrome,https://www.webstaurantstore.com/regency-30-x-48-chrome-wire-shelf/460EC3048.html,https://www.therestaurantstore.com/items/436259,4,https://www.webstaurantstore.com/regency-nsf-54-chrome-mobile-shelving-post/460ECPC54.html,https://www.therestaurantstore.com/items/413228,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_30_48_green,https://www.webstaurantstore.com/regency-30-x-48-green-epoxy-wire-shelf/460EG3048.html,https://www.therestaurantstore.com/items/436212,4,https://www.webstaurantstore.com/regency-nsf-54-green-epoxy-mobile-shelving-post/460EGPC54.html,https://www.therestaurantstore.com/items/413340,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_30_54_black,https://www.webstaurantstore.com/regency-30-x-54-nsf-black-epoxy-wire-shelf/460EB3054.html,https://www.therestaurantstore.com/items/753928,4,https://www.webstaurantstore.com/regency-nsf-54-black-epoxy-mobile-shelving-post/460EBPC54.html,https://www.therestaurantstore.com/items/413314,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_30_54_chrome,https://www.webstaurantstore.com/regency-30-x-54-nsf-chrome-wire-shelf/460EC3054.html,https://www.therestaurantstore.com/items/753975,4,https://www.webstaurantstore.com/regency-nsf-54-chrome-mobile-shelving-post/460ECPC54.html,https://www.therestaurantstore.com/items/413228,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_30_54_green,https://www.webstaurantstore.com/regency-30-x-54-nsf-green-epoxy-wire-shelf/460EG3054.html,https://www.therestaurantstore.com/items/754164,4,https://www.webstaurantstore.com/regency-nsf-54-green-epoxy-mobile-shelving-post/460EGPC54.html,https://www.therestaurantstore.com/items/413340,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_30_60_black,https://www.webstaurantstore.com/regency-30-x-60-nsf-black-epoxy-wire-shelf/460EB3060.html,https://www.therestaurantstore.com/items/524462,4,https://www.webstaurantstore.com/regency-nsf-54-black-epoxy-mobile-shelving-post/460EBPC54.html,https://www.therestaurantstore.com/items/413314,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_30_60_chrome,https://www.webstaurantstore.com/regency-30-x-60-chrome-wire-shelf/460EC3060.html,https://www.therestaurantstore.com/items/436228,4,https://www.webstaurantstore.com/regency-nsf-54-chrome-mobile-shelving-post/460ECPC54.html,https://www.therestaurantstore.com/items/413228,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
